community,node
1,YAL005C
1,YAL020C
1,YAL027W
1,YAL041W
1,YAR007C
1,YAR014C
1,YAR035W
1,YAR066W
1,YBL033C
1,YBL039C
1,YBL042C
1,YBL056W
1,YBL057C
1,YBL058W
1,YBL060W
1,YBL071WA
1,YBL081W
1,YBL101C
1,YBL105C
1,YBR034C
1,YBR038W
1,YBR041W
1,YBR056W
1,YBR101C
1,YBR109C
1,YBR125C
1,YBR126C
1,YBR141C
1,YBR156C
1,YBR170C
1,YBR200W
1,YBR212W
1,YBR222C
1,YBR228W
1,YBR237W
1,YBR239C
1,YBR253W
1,YBR273C
1,YBR279W
1,YBR281C
1,YCL039W
1,YCR023C
1,YCR024C
1,YCR051W
1,YCR052W
1,YCR057C
1,YCR059C
1,YCR093W
1,YDL006W
1,YDL030W
1,YDL045C
1,YDL056W
1,YDL063C
1,YDL092W
1,YDL097C
1,YDL101C
1,YDL116W
1,YDL126C
1,YDL135C
1,YDL146W
1,YDL149W
1,YDL150W
1,YDL153C
1,YDL167C
1,YDL190C
1,YDL210W
1,YDL220C
1,YDL237W
1,YDR001C
1,YDR026C
1,YDR044W
1,YDR071C
1,YDR073W
1,YDR074W
1,YDR077W
1,YDR082W
1,YDR091C
1,YDR092W
1,YDR108W
1,YDR110W
1,YDR113C
1,YDR145W
1,YDR162C
1,YDR173C
1,YDR205W
1,YDR215C
1,YDR236C
1,YDR255C
1,YDR267C
1,YDR279W
1,YDR312W
1,YDR313C
1,YDR348C
1,YDR363WA
1,YDR372C
1,YDR376W
1,YDR381W
1,YDR397C
1,YDR398W
1,YDR400W
1,YDR418W
1,YDR441C
1,YDR460W
1,YDR465C
1,YDR482C
1,YEL009C
1,YEL029C
1,YEL032W
1,YEL041W
1,YEL054C
1,YEL056W
1,YEL060C
1,YER019CA
1,YER021W
1,YER024W
1,YER133W
1,YER151C
1,YER159C
1,YER184C
1,YFL024C
1,YFL039C
1,YFL044C
1,YFR007W
1,YFR017C
1,YFR037C
1,YFR042W
1,YGL015C
1,YGL028C
1,YGL087C
1,YGL091C
1,YGL092W
1,YGL106W
1,YGL108C
1,YGL130W
1,YGL141W
1,YGL174W
1,YGL190C
1,YGL230C
1,YGL233W
1,YGL242C
1,YGR048W
1,YGR049W
1,YGR063C
1,YGR077C
1,YGR098C
1,YGR101W
1,YGR154C
1,YGR161CC
1,YGR165W
1,YGR205W
1,YGR229C
1,YGR234W
1,YGR240C
1,YGR250C
1,YGR278W
1,YHL002W
1,YHL021C
1,YHL027W
1,YHR005C
1,YHR030C
1,YHR033W
1,YHR066W
1,YHR090C
1,YHR091C
1,YHR122W
1,YHR145C
1,YHR187W
1,YIL011W
1,YIL026C
1,YIL061C
1,YIL062C
1,YIL075C
1,YIL103W
1,YIL128W
1,YIR001C
1,YIR005W
1,YIR024C
1,YJL056C
1,YJL069C
1,YJL125C
1,YJL145W
1,YJL157C
1,YJL160C
1,YJL173C
1,YJR009C
1,YJR049C
1,YJR053W
1,YJR055W
1,YJR084W
1,YJR086W
1,YJR103W
1,YKL013C
1,YKL020C
1,YKL057C
1,YKL058W
1,YKL070W
1,YKL088W
1,YKL110C
1,YKL122C
1,YKL132C
1,YKL144C
1,YKL186C
1,YKL191W
1,YKR024C
1,YKR025W
1,YKR064W
1,YKR072C
1,YKR082W
1,YKR084C
1,YKR099W
1,YLL022C
1,YLL032C
1,YLR010C
1,YLR058C
1,YLR065C
1,YLR102C
1,YLR135W
1,YLR154C
1,YLR166C
1,YLR182W
1,YLR192C
1,YLR212C
1,YLR222C
1,YLR223C
1,YLR229C
1,YLR254C
1,YLR266C
1,YLR270W
1,YLR312C
1,YLR319C
1,YLR330W
1,YLR373C
1,YLR390W
1,YLR405W
1,YLR409C
1,YLR421C
1,YLR455W
1,YML016C
1,YML022W
1,YML032CA
1,YML053C
1,YML068W
1,YML075C
1,YML095C
1,YML100W
1,YML109W
1,YML119W
1,YML127W
1,YMR042W
1,YMR043W
1,YMR055C
1,YMR067C
1,YMR075CA
1,YMR091C
1,YMR092C
1,YMR093W
1,YMR112C
1,YMR125W
1,YMR133W
1,YMR135C
1,YMR197C
1,YMR201C
1,YMR205C
1,YMR261C
1,YMR276W
1,YMR295C
1,YMR312W
1,YMR315W
1,YNL001W
1,YNL007C
1,YNL062C
1,YNL105W
1,YNL126W
1,YNL138W
1,YNL155W
1,YNL225C
1,YNL233W
1,YNL243W
1,YNL251C
1,YNL280C
1,YNL287W
1,YNL312W
1,YNR005C
1,YNR006W
1,YNR027W
1,YNR032CA
1,YNR039C
1,YNR041C
1,YNR051C
1,YOL088C
1,YOL131W
1,YOL139C
1,YOR034C
1,YOR054C
1,YOR069W
1,YOR094W
1,YOR102W
1,YOR123C
1,YOR129C
1,YOR132W
1,YOR161C
1,YOR171C
1,YOR194C
1,YOR212W
1,YOR232W
1,YOR247W
1,YOR250C
1,YOR269W
1,YOR276W
1,YOR299W
1,YOR308C
1,YPL001W
1,YPL003W
1,YPL022W
1,YPL038W
1,YPL108W
1,YPL114W
1,YPL131W
1,YPL133C
1,YPL138C
1,YPL140C
1,YPL175W
1,YPL178W
1,YPL184C
1,YPL190C
1,YPL193W
1,YPL209C
1,YPL222W
1,YPL228W
1,YPL266W
1,YPL269W
1,YPR022C
1,YPR025C
1,YPR066W
1,YPR068C
1,YPR106W
1,YPR108W
1,YPR143W
1,YPR148C
1,YPR158W
1,YPR159W
1,YPR172W
1,YPR184W
2,YAL054C
2,YBR006W
2,YBR040W
2,YBR072W
2,YBR137W
2,YCL040W
2,YCL059C
2,YCR076C
2,YCR087CA
2,YDL236W
2,YDL246C
2,YDR174W
2,YDR216W
2,YDR318W
2,YDR382W
2,YDR453C
2,YDR487C
2,YDR516C
2,YDR527W
2,YDR533C
2,YEL066W
2,YER065C
2,YFL061W
2,YGL040C
2,YGL126W
2,YGL166W
2,YGL201C
2,YGL221C
2,YGR180C
2,YGR192C
2,YHR025W
2,YHR216W
2,YIL013C
2,YIL039W
2,YIL150C
2,YIL163C
2,YJL154C
2,YJR133W
2,YJR159W
2,YKL023W
2,YKL035W
2,YKR011C
2,YKR092C
2,YLL028W
2,YLR049C
2,YLR209C
2,YLR303W
2,YML006C
2,YML028W
2,YML064C
2,YMR226C
2,YMR239C
2,YNL189W
2,YNL331C
2,YNR032CA
2,YOL058W
2,YOR020C
2,YOR101W
2,YOR210W
2,YOR220W
2,YOR229W
2,YOR230W
2,YOR283W
2,YOR308C
2,YPL111W
2,YPL161C
2,YPL214C
2,YPR104C
3,YGR074W
3,YKL183W
3,YKR104W
3,YLL062C
3,YNL104C
3,YOL143C
3,YOR108W
4,YAL028W
4,YDL015C
4,YDL239C
4,YDR148C
4,YDR273W
4,YFR052W
4,YHR184W
4,YKL010C
