config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
10,3,1.5,2.0,5,100,,0.65662233256855,125,100
11,3,1.5,2.5,5,100,,0.6544499031715775,124,100
9,3,1.5,1.5,5,100,,0.6541438640792113,125,100
12,3,1.5,3.0,5,100,,0.6532729485027675,124,100
6,3,1.0,2.0,5,100,,0.6521373244722162,127,100
5,3,1.0,1.5,5,100,,0.6513892361572625,128,100
13,3,2.0,1.5,5,100,,0.6483668293143271,129,100
22,4,1.0,2.0,5,100,,0.6467395750869444,108,100
21,4,1.0,1.5,5,100,,0.6462495755008242,109,100
8,3,1.0,3.0,5,100,,0.6431801128615976,125,100
7,3,1.0,2.5,5,100,,0.6427216639195843,126,100
15,3,2.0,2.5,5,100,,0.6379949920356507,129,100
14,3,2.0,2.0,5,100,,0.637741548052278,130,100
1,3,0.5,1.5,5,100,,0.6354201129210806,129,100
17,4,0.5,1.5,5,100,,0.6353949144125459,103,100
19,4,0.5,2.5,5,100,,0.6350281728246788,93,100
20,4,0.5,3.0,5,100,,0.6348899256790284,95,100
18,4,0.5,2.0,5,100,,0.6338613958506344,95,100
26,4,1.5,2.0,5,100,,0.6315676476971462,103,100
16,3,2.0,3.0,5,100,,0.6313062552380488,129,100
24,4,1.0,3.0,5,100,,0.6276136241418007,107,100
23,4,1.0,2.5,5,100,,0.6274123789498292,107,100
25,4,1.5,1.5,5,100,,0.6267849264002092,105,100
4,3,0.5,3.0,5,100,,0.6262145775084309,126,100
30,4,2.0,2.0,5,100,,0.6255455931759509,107,100
27,4,1.5,2.5,5,100,,0.6250248632715183,102,100
38,5,1.0,2.0,5,100,,0.6249432059717102,85,100
3,3,0.5,2.5,5,100,,0.6247494629039889,129,100
28,4,1.5,3.0,5,100,,0.624333431255411,102,100
37,5,1.0,1.5,5,100,,0.6243101563911301,85,100
2,3,0.5,2.0,5,100,,0.6243041965022211,129,100
32,4,2.0,3.0,5,100,,0.622860978395982,105,100
31,4,2.0,2.5,5,100,,0.6226772861533086,106,100
42,5,1.5,2.0,5,100,,0.6221096254555984,84,100
41,5,1.5,1.5,5,100,,0.6200845494514076,83,100
40,5,1.0,3.0,5,100,,0.6174003019336733,82,100
33,5,0.5,1.5,5,100,,0.6163032145798835,84,100
29,4,2.0,1.5,5,100,,0.6133747348707773,107,100
44,5,1.5,3.0,5,100,,0.6092338237904914,82,100
43,5,1.5,2.5,5,100,,0.6092205841290409,82,100
39,5,1.0,2.5,5,100,,0.6055734653275957,86,100
36,5,0.5,3.0,5,100,,0.6029780061973666,72,100
53,6,1.0,1.5,5,100,,0.5996978694587016,70,100
57,6,1.5,1.5,5,100,,0.5993066381974096,58,100
58,6,1.5,2.0,5,100,,0.5991924216034754,55,100
35,5,0.5,2.5,5,100,,0.5932031337886313,72,100
45,5,2.0,1.5,5,100,,0.5923582884845519,86,100
34,5,0.5,2.0,5,100,,0.5912082751596789,75,100
47,5,2.0,2.5,5,100,,0.5906619275506508,84,100
48,5,2.0,3.0,5,100,,0.5905465309537071,84,100
54,6,1.0,2.0,5,100,,0.5883662127105908,69,100
60,6,1.5,3.0,5,100,,0.587785689320842,56,100
59,6,1.5,2.5,5,100,,0.5875818996240058,56,100
61,6,2.0,1.5,5,100,,0.5872522228403858,60,100
55,6,1.0,2.5,5,100,,0.5872058343772965,68,100
56,6,1.0,3.0,5,100,,0.5867863890742766,68,100
46,5,2.0,2.0,5,100,,0.5863412238947907,86,100
63,6,2.0,2.5,5,100,,0.5859875348674358,60,100
62,6,2.0,2.0,5,100,,0.5785415371239245,62,100
73,7,1.5,1.5,5,100,,0.576503852482469,45,100
77,7,2.0,1.5,5,100,,0.5753123550137562,49,100
78,7,2.0,2.0,5,100,,0.5750204360813664,44,100
51,6,0.5,2.5,5,100,,0.5725709527205589,57,100
52,6,0.5,3.0,5,100,,0.5722073391660543,57,100
74,7,1.5,2.0,5,100,,0.567372092147011,43,100
64,6,2.0,3.0,5,100,,0.567231971589171,57,100
49,6,0.5,1.5,5,100,,0.5646440675358619,71,100
70,7,1.0,2.0,5,100,,0.5635982849099729,42,100
69,7,1.0,1.5,5,100,,0.5629589234196141,46,100
75,7,1.5,2.5,5,100,,0.5627180773201699,46,100
76,7,1.5,3.0,5,100,,0.5624535034502536,46,100
65,7,0.5,1.5,5,100,,0.5530915122596085,56,100
50,6,0.5,2.0,5,100,,0.5510899259869516,58,100
89,8,1.5,1.5,5,100,,0.542224415492302,35,100
91,8,1.5,2.5,5,100,,0.5418243847021971,38,100
92,8,1.5,3.0,5,100,,0.5417765986878447,38,100
90,8,1.5,2.0,5,100,,0.5410987091588549,38,100
88,8,1.0,3.0,5,100,,0.5342234251961793,32,100
87,8,1.0,2.5,5,100,,0.5336319602064822,32,100
85,8,1.0,1.5,5,100,,0.5329230325456369,40,100
81,8,0.5,1.5,5,100,,0.5289097560860703,29,100
84,8,0.5,3.0,5,100,,0.525928990580355,28,100
82,8,0.5,2.0,5,100,,0.524881214326101,28,100
83,8,0.5,2.5,5,100,,0.5245013879723844,28,100
71,7,1.0,2.5,5,100,,0.5054291484972424,39,100
72,7,1.0,3.0,5,100,,0.5054279752106128,39,100
102,9,1.0,2.0,5,100,,0.5011500947524922,24,100
103,9,1.0,2.5,5,100,,0.4993274702225922,25,100
104,9,1.0,3.0,5,100,,0.49920876602527925,25,100
106,9,1.5,2.0,5,100,,0.49192299025702574,24,100
97,9,0.5,1.5,5,100,,0.4896347415200437,21,100
100,9,0.5,3.0,5,100,,0.48890599480629787,19,100
99,9,0.5,2.5,5,100,,0.48888623750282456,19,100
98,9,0.5,2.0,5,100,,0.48616154556230556,20,100
101,9,1.0,1.5,5,100,,0.4828629519232769,27,100
114,10,0.5,2.0,5,100,,0.4802331508165068,16,100
122,10,1.5,2.0,5,100,,0.4742506180926448,16,100
126,10,2.0,2.0,5,100,,0.4665000299480346,17,100
128,10,2.0,3.0,5,100,,0.46546008767869307,13,100
127,10,2.0,2.5,5,100,,0.46531579422471614,13,100
79,7,2.0,2.5,5,100,,0.46372394054556304,38,100
86,8,1.0,2.0,5,100,,0.4610158392833527,30,100
80,7,2.0,3.0,5,100,,0.45794892243675056,37,100
67,7,0.5,2.5,5,100,,0.45600438509689256,30,100
66,7,0.5,2.0,5,100,,0.45589296987455225,30,100
68,7,0.5,3.0,5,100,,0.45581358228713953,30,100
94,8,2.0,2.0,5,100,,0.4245414607086293,28,100
93,8,2.0,1.5,5,100,,0.4179719597234055,28,100
116,10,0.5,3.0,5,100,,0.40397792552435435,13,100
115,10,0.5,2.5,5,100,,0.4038948685423268,13,100
113,10,0.5,1.5,5,100,,0.40342210303412407,13,100
110,9,2.0,2.0,5,100,,0.3987368064193805,14,100
105,9,1.5,1.5,5,100,,0.38872202541924344,19,100
109,9,2.0,1.5,5,100,,0.37773505340659613,15,100
117,10,1.0,1.5,5,100,,0.37616084072597566,13,100
107,9,1.5,2.5,5,100,,0.3759340029467123,15,100
108,9,1.5,3.0,5,100,,0.37502046789383675,16,100
95,8,2.0,2.5,5,100,,0.3699701768540984,24,100
96,8,2.0,3.0,5,100,,0.36989529691784245,24,100
119,10,1.0,2.5,5,100,,0.36594326977599057,13,100
118,10,1.0,2.0,5,100,,0.3630561129385222,14,100
121,10,1.5,1.5,5,100,,0.3625846296826013,11,100
124,10,1.5,3.0,5,100,,0.3597877776319577,11,100
123,10,1.5,2.5,5,100,,0.35971782434789296,11,100
120,10,1.0,3.0,5,100,,0.3573287089970271,13,100
125,10,2.0,1.5,5,100,,0.3463010888365388,9,100
111,9,2.0,2.5,5,100,,0.2721561771291159,14,100
112,9,2.0,3.0,5,100,,0.2720959204890765,14,100
