community,node
1,YAL001C
1,YAL002W
1,YAL034W-A
1,YAL041W
1,YAL047C
1,YBL007C
1,YBL037W
1,YBL049W
1,YBL052C
1,YBL078C
1,YBL097W
1,YBR057C
1,YBR097W
1,YBR102C
1,YBR105C
1,YBR107C
1,YBR123C
1,YBR125C
1,YBR126C
1,YBR135W
1,YBR137W
1,YBR160W
1,YBR195C
1,YBR200W
1,YBR211C
1,YBR288C
1,YCL008C
1,YCL019W
1,YCL039W
1,YCL055W
1,YCR002C
1,YCR020C-A
1,YCR065W
1,YCR073W-A
1,YCR095C
1,YDL013W
1,YDL067C
1,YDL077C
1,YDL089W
1,YDL102W
1,YDL105W
1,YDL137W
1,YDL145C
1,YDL155W
1,YDL192W
1,YDL225W
1,YDL229W
1,YDR013W
1,YDR016C
1,YDR074W
1,YDR080W
1,YDR084C
1,YDR166C
1,YDR168W
1,YDR186C
1,YDR200C
1,YDR201W
1,YDR238C
1,YDR254W
1,YDR255C
1,YDR261W-A
1,YDR261W-B
1,YDR279W
1,YDR288W
1,YDR289C
1,YDR318W
1,YDR320C-A
1,YDR325W
1,YDR357C
1,YDR361C
1,YDR362C
1,YDR383C
1,YDR425W
1,YDR434W
1,YDR489W
1,YDR507C
1,YEL003W
1,YEL005C
1,YEL019C
1,YEL053C
1,YER008C
1,YER018C
1,YER114C
1,YER117W
1,YER122C
1,YER157W
1,YFL059W
1,YFL060C
1,YFR008W
1,YFR015C
1,YFR016C
1,YFR024C-A
1,YFR031C
1,YFR051C
1,YGL005C
1,YGL036W
1,YGL061C
1,YGL079W
1,YGL137W
1,YGL161C
1,YGL187C
1,YGL192W
1,YGL198W
1,YGL223C
1,YGL227W
1,YGL233W
1,YGL237C
1,YGL246C
1,YGR006W
1,YGR010W
1,YGR047C
1,YGR078C
1,YGR113W
1,YGR120C
1,YGR179C
1,YGR192C
1,YGR200C
1,YGR206W
1,YGR251W
1,YGR261C
1,YHL003C
1,YHL029C
1,YHR012W
1,YHR024C
1,YHR030C
1,YHR107C
1,YHR120W
1,YHR171W
1,YHR172W
1,YHR187W
1,YHR188C
1,YIL017C
1,YIL034C
1,YIL066C
1,YIL068C
1,YIL076W
1,YIL097W
1,YIL105C
1,YIL144W
1,YIR003W
1,YIR010W
1,YJL024C
1,YJL053W
1,YJL072C
1,YJL084C
1,YJL085W
1,YJL137C
1,YJL141C
1,YJL154C
1,YJL179W
1,YJL208C
1,YJR005W
1,YJR006W
1,YJR043C
1,YJR058C
1,YJR076C
1,YJR092W
1,YJR102C
1,YJR112W
1,YJR135C
1,YKL007W
1,YKL008C
1,YKL039W
1,YKL052C
1,YKL061W
1,YKL078W
1,YKL103C
1,YKL195W
1,YKR037C
1,YKR058W
1,YKR079C
1,YKR083C
1,YLL010C
1,YLR006C
1,YLR019W
1,YLR028C
1,YLR079W
1,YLR086W
1,YLR119W
1,YLR148W
1,YLR154C
1,YLR163C
1,YLR166C
1,YLR200W
1,YLR212C
1,YLR238W
1,YLR240W
1,YLR258W
1,YLR270W
1,YLR272C
1,YLR314C
1,YLR315W
1,YLR324W
1,YLR328W
1,YLR360W
1,YLR381W
1,YLR384C
1,YLR396C
1,YLR408C
1,YLR417W
1,YLR423C
1,YLR438W
1,YML067C
1,YML071C
1,YML094W
1,YML100W
1,YML102W
1,YML123C
1,YMR022W
1,YMR029C
1,YMR052W
1,YMR077C
1,YMR095C
1,YMR096W
1,YMR099C
1,YMR106C
1,YMR117C
1,YMR120C
1,YMR135C
1,YMR231W
1,YMR261C
1,YMR298W
1,YMR319C
1,YMR322C
1,YNL032W
1,YNL041C
1,YNL047C
1,YNL051W
1,YNL052W
1,YNL056W
1,YNL072W
1,YNL086W
1,YNL099C
1,YNL126W
1,YNL153C
1,YNL186W
1,YNL287W
1,YNL333W
1,YNL334C
1,YNR007C
1,YNR031C
1,YNR034W
1,YOL034W
1,YOL062C
1,YOL069W
1,YOL082W
1,YOL111C
1,YOL146W
1,YOR007C
1,YOR043W
1,YOR069W
1,YOR110W
1,YOR132W
1,YOR173W
1,YOR181W
1,YOR358W
1,YPL002C
1,YPL007C
1,YPL010W
1,YPL018W
1,YPL045W
1,YPL070W
1,YPL086C
1,YPL101W
1,YPL120W
1,YPL140C
1,YPL195W
1,YPL208W
1,YPL233W
1,YPL245W
1,YPR018W
1,YPR028W
1,YPR031W
1,YPR046W
1,YPR049C
1,YPR051W
1,YPR055W
1,YPR105C
1,YPR119W
1,YPR120C
2,YAL035W
2,YBL087C
2,YBR011C
2,YBR031W
2,YBR084W
2,YBR142W
2,YBR267W
2,YCR072C
2,YDL031W
2,YDL075W
2,YDL082W
2,YDL168W
2,YDR012W
2,YDR060W
2,YDR087C
2,YDR101C
2,YDR381W
2,YDR386W
2,YDR496C
2,YER006W
2,YER126C
2,YFL002C
2,YFL034W
2,YFR001W
2,YFR031C-A
2,YFR043C
2,YGL030W
2,YGL076C
2,YGL099W
2,YGL111W
2,YGR103W
2,YGR245C
2,YHL019C
2,YHL034C
2,YHR010W
2,YHR052W
2,YHR066W
2,YHR085W
2,YHR088W
2,YHR170W
2,YHR197W
2,YIL161W
2,YKL009W
2,YKL014C
2,YKL135C
2,YKL172W
2,YKR024C
2,YKR081C
2,YLL008W
2,YLL034C
2,YLL045C
2,YLR002C
2,YLR029C
2,YLR074C
2,YLR106C
2,YLR170C
2,YLR221C
2,YLR276C
2,YLR340W
2,YLR449W
2,YLR455W
2,YMR049C
2,YMR142C
2,YMR229C
2,YMR242C
2,YMR290C
2,YNL002C
2,YNL023C
2,YNL061W
2,YNL110C
2,YNL135C
2,YNL175C
2,YNL182C
2,YNL230C
2,YNR053C
2,YOL041C
2,YOL077C
2,YOL120C
2,YOL127W
2,YOR005C
2,YOR063W
2,YOR080W
2,YOR206W
2,YOR272W
2,YOR294W
2,YPL043W
2,YPL093W
2,YPL131W
2,YPL146C
2,YPL198W
2,YPL211W
2,YPL220W
2,YPL249C-A
2,YPL259C
2,YPR016C
2,YPR029C
2,YPR161C
3,YAL032C
3,YBL026W
3,YBL032W
3,YBL074C
3,YBR055C
3,YBR065C
3,YBR094W
3,YBR119W
3,YBR152W
3,YBR188C
3,YCL037C
3,YCR077C
3,YDL030W
3,YDL043C
3,YDL087C
3,YDL098C
3,YDL160C
3,YDL175C
3,YDL209C
3,YDR172W
3,YDR235W
3,YDR240C
