config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
22,4,1.0,2.0,5,100,,0.8125765904405354,35,91
27,4,1.5,2.5,5,100,,0.8116069511619459,37,91
16,3,2.0,3.0,5,100,,0.8112473035866692,41,60
15,3,2.0,2.5,5,100,,0.8112418314356765,41,60
26,4,1.5,2.0,5,100,,0.8110103381285836,37,91
12,3,1.5,3.0,5,100,,0.8093276384910234,43,61
7,3,1.0,2.5,5,100,,0.809130142012846,39,100
10,3,1.5,2.0,5,100,,0.8090637531636439,42,59
11,3,1.5,2.5,5,100,,0.8090085254027314,43,60
31,4,2.0,2.5,5,100,,0.8076022975018811,38,91
13,3,2.0,1.5,5,100,,0.807486500086681,42,61
32,4,2.0,3.0,5,100,,0.8074753269793555,38,91
30,4,2.0,2.0,5,100,,0.8071248264538698,37,91
14,3,2.0,2.0,5,100,,0.8069147099026257,42,59
63,6,2.0,2.5,5,100,,0.806177461611172,34,100
64,6,2.0,3.0,5,100,,0.8061102138818552,34,100
4,3,0.5,3.0,5,100,,0.8050140201990922,38,100
28,4,1.5,3.0,5,100,,0.8049343310751248,38,91
29,4,2.0,1.5,5,100,,0.8048864064108067,39,91
6,3,1.0,2.0,5,100,,0.803961734657355,41,61
44,5,1.5,3.0,5,100,,0.8025343702529049,38,91
8,3,1.0,3.0,5,100,,0.8022082883378466,41,100
9,3,1.5,1.5,5,100,,0.8017237259986296,43,61
1,3,0.5,1.5,5,100,,0.8014526750634801,37,66
45,5,2.0,1.5,5,100,,0.801182669221225,37,100
47,5,2.0,2.5,5,100,,0.8011668143149165,37,89
43,5,1.5,2.5,5,100,,0.8006956586164697,38,91
17,4,0.5,1.5,5,100,,0.800366664401223,37,72
46,5,2.0,2.0,5,100,,0.8000587240429686,37,89
23,4,1.0,2.5,5,100,,0.7999396371937028,37,100
24,4,1.0,3.0,5,100,,0.7999396316635855,37,100
42,5,1.5,2.0,5,100,,0.7994080841835997,38,91
38,5,1.0,2.0,5,100,,0.7993922721450011,36,91
48,5,2.0,3.0,5,100,,0.799242186104524,37,89
2,3,0.5,2.0,5,100,,0.7991529297394372,39,100
3,3,0.5,2.5,5,100,,0.7991526136360302,39,100
41,5,1.5,1.5,5,100,,0.7989295566765988,38,94
36,5,0.5,3.0,5,100,,0.7989118682109453,35,100
39,5,1.0,2.5,5,100,,0.7977322838101926,36,100
53,6,1.0,1.5,5,100,,0.7972494856925489,34,100
54,6,1.0,2.0,5,100,,0.7972494777279622,34,100
97,9,0.5,1.5,5,100,,0.7966088208197394,30,100
5,3,1.0,1.5,5,100,,0.7959693403137735,42,55
20,4,0.5,3.0,5,100,,0.795844988938058,36,100
55,6,1.0,2.5,5,100,,0.7955945384384304,34,100
56,6,1.0,3.0,5,100,,0.7955945314144615,34,100
100,9,0.5,3.0,5,100,,0.7954959821484647,30,100
25,4,1.5,1.5,5,100,,0.7952047544100471,41,91
33,5,0.5,1.5,5,100,,0.7940973614009761,36,81
57,6,1.5,1.5,5,100,,0.793407647859461,37,100
58,6,1.5,2.0,5,100,,0.7934076350961162,37,100
59,6,1.5,2.5,5,100,,0.7934076324007104,37,100
