config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
1,3,0.5,1.5,5,100,,0.5182196555189307,4,18
4,3,0.5,3.0,5,100,,0.5076685693553334,4,34
3,3,0.5,2.5,5,100,,0.50766856935529,4,34
2,3,0.5,2.0,5,100,,0.5076685693551937,4,34
16,3,2.0,3.0,5,100,,0.507267754861946,5,34
15,3,2.0,2.5,5,100,,0.5072677548612659,5,34
14,3,2.0,2.0,5,100,,0.5072677548600377,5,34
13,3,2.0,1.5,5,100,,0.5072677548574652,5,34
30,4,2.0,2.0,5,100,,0.5043951911977429,4,39
31,4,2.0,2.5,5,100,,0.5043951911948805,4,39
32,4,2.0,3.0,5,100,,0.5043951911914516,4,39
29,4,2.0,1.5,5,100,,0.504395191161318,4,38
5,3,1.0,1.5,5,100,,0.4982550403882977,5,35
7,3,1.0,2.5,5,100,,0.4982550403820825,5,35
8,3,1.0,3.0,5,100,,0.49825504038129864,5,35
6,3,1.0,2.0,5,100,,0.4982550403798315,5,35
11,3,1.5,2.5,5,100,,0.4945003741376079,5,33
10,3,1.5,2.0,5,100,,0.49450037413647163,5,33
9,3,1.5,1.5,5,100,,0.4945003741316519,5,33
12,3,1.5,3.0,5,100,,0.4945003741287095,5,32
18,4,0.5,2.0,5,100,,0.4912637761652152,4,39
19,4,0.5,2.5,5,100,,0.49126377616519823,4,39
20,4,0.5,3.0,5,100,,0.4912637761651895,4,39
17,4,0.5,1.5,5,100,,0.49126377616472267,4,39
46,5,2.0,2.0,5,100,,0.4880657296279247,4,39
47,5,2.0,2.5,5,100,,0.4880657296247784,4,39
48,5,2.0,3.0,5,100,,0.48806572962065403,4,39
45,5,2.0,1.5,5,100,,0.48806572960594263,4,38
37,5,1.0,1.5,5,100,,0.4810516329987235,4,42
38,5,1.0,2.0,5,100,,0.4810516329974416,4,42
39,5,1.0,2.5,5,100,,0.4810516329745751,4,41
40,5,1.0,3.0,5,100,,0.4810516329646161,4,41
22,4,1.0,2.0,5,100,,0.4764757089988383,5,46
24,4,1.0,3.0,5,100,,0.4764757089937199,5,45
21,4,1.0,1.5,5,100,,0.4764757089855188,5,46
23,4,1.0,2.5,5,100,,0.4764757089834639,5,45
27,4,1.5,2.5,5,100,,0.4745974094101038,5,47
26,4,1.5,2.0,5,100,,0.4745974094097833,5,47
28,4,1.5,3.0,5,100,,0.4745974094093808,5,47
25,4,1.5,1.5,5,100,,0.4745974094045248,5,47
35,5,0.5,2.5,5,100,,0.4719503631782221,4,40
36,5,0.5,3.0,5,100,,0.471950363178141,4,40
33,5,0.5,1.5,5,100,,0.47195036317591077,4,40
34,5,0.5,2.0,5,100,,0.47195036317384326,4,40
43,5,1.5,2.5,5,100,,0.4658013557890774,4,42
44,5,1.5,3.0,5,100,,0.46580135576621623,4,43
42,5,1.5,2.0,5,100,,0.4658013557638054,4,43
41,5,1.5,1.5,5,100,,0.4658013557627239,4,52
