config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
1,3,0.5,1.5,5,100,,0.6032043622544702,11,4
2,3,0.5,2.0,5,100,,0.6032043622544702,11,5
3,3,0.5,2.5,5,100,,0.6032043622544702,11,6
4,3,0.5,3.0,5,100,,0.6032043622544702,11,6
6,3,1.0,2.0,5,100,,0.6016399909987677,11,13
5,3,1.0,1.5,5,100,,0.6016399909982564,11,12
7,3,1.0,2.5,5,100,,0.601639990997723,11,12
8,3,1.0,3.0,5,100,,0.6016399909976199,11,12
18,4,0.5,2.0,5,100,,0.599110267024831,11,39
20,4,0.5,3.0,5,100,,0.5991102670194108,11,40
17,4,0.5,1.5,5,100,,0.5991102670107306,11,39
19,4,0.5,2.5,5,100,,0.5991102670100784,11,40
23,4,1.0,2.5,5,100,,0.5985305768587361,11,26
24,4,1.0,3.0,5,100,,0.5985305768421457,11,26
22,4,1.0,2.0,5,100,,0.5983434628747258,11,37
21,4,1.0,1.5,5,100,,0.5983434628686072,11,36
33,5,0.5,1.5,5,100,,0.5983346186613532,11,34
34,5,0.5,2.0,5,100,,0.5983346186542178,11,37
38,5,1.0,2.0,5,100,,0.5979329086735933,11,34
37,5,1.0,1.5,5,100,,0.5979329086702437,11,33
11,3,1.5,2.5,5,100,,0.5976298677607089,8,9
43,5,1.5,2.5,5,100,,0.5976298677607089,8,9
27,4,1.5,2.5,5,100,,0.5976298677607089,8,9
42,5,1.5,2.0,5,100,,0.597629867759407,8,10
10,3,1.5,2.0,5,100,,0.597629867759407,8,10
26,4,1.5,2.0,5,100,,0.597629867759407,8,10
41,5,1.5,1.5,5,100,,0.5976298677592237,8,10
25,4,1.5,1.5,5,100,,0.5976298677592237,8,10
9,3,1.5,1.5,5,100,,0.5976298677592237,8,10
15,3,2.0,2.5,5,100,,0.5976298677581299,8,10
44,5,1.5,3.0,5,100,,0.5976298677579729,8,10
12,3,1.5,3.0,5,100,,0.5976298677579729,8,10
28,4,1.5,3.0,5,100,,0.5976298677579729,8,10
13,3,2.0,1.5,5,100,,0.5976298677577088,8,10
16,3,2.0,3.0,5,100,,0.5976298677574261,8,10
14,3,2.0,2.0,5,100,,0.5976298677570091,8,9
39,5,1.0,2.5,5,100,,0.5972441920141701,11,31
40,5,1.0,3.0,5,100,,0.5972441919980729,11,32
49,6,0.5,1.5,5,100,,0.5968037277052308,11,31
50,6,0.5,2.0,5,100,,0.5968037276863108,11,31
52,6,0.5,3.0,5,100,,0.5964036048978463,10,28
51,6,0.5,2.5,5,100,,0.5964036048727583,10,26
54,6,1.0,2.0,5,100,,0.5963314427463879,11,34
53,6,1.0,1.5,5,100,,0.5963314427430384,11,33
57,6,1.5,1.5,5,100,,0.5960547274758853,8,10
29,4,2.0,1.5,5,100,,0.5960547274743113,8,10
31,4,2.0,2.5,5,100,,0.5960547274738041,8,11
32,4,2.0,3.0,5,100,,0.5960547274734653,8,11
30,4,2.0,2.0,5,100,,0.5960547274709087,8,10
92,8,1.5,3.0,5,100,,0.5956442132940615,7,16
91,8,1.5,2.5,5,100,,0.5956442132940608,7,18
76,7,1.5,3.0,5,100,,0.5956442132940595,7,17
73,7,1.5,1.5,5,100,,0.5953186586769402,8,10
106,9,1.5,2.0,5,100,,0.5948339828221734,7,23
107,9,1.5,2.5,5,100,,0.5948339828158737,7,19
108,9,1.5,3.0,5,100,,0.5948339828158359,7,19
55,6,1.0,2.5,5,100,,0.5947843951939079,11,25
56,6,1.0,3.0,5,100,,0.5947843951534075,11,25
48,5,2.0,3.0,5,100,,0.5942260907302994,8,14
47,5,2.0,2.5,5,100,,0.5942260907302778,8,13
46,5,2.0,2.0,5,100,,0.5942260907301334,8,12
45,5,2.0,1.5,5,100,,0.5942260907272703,8,10
94,8,2.0,2.0,5,100,,0.594209226433857,7,17
96,8,2.0,3.0,5,100,,0.594209226433195,7,17
95,8,2.0,2.5,5,100,,0.5942092264255551,7,18
80,7,2.0,3.0,5,100,,0.5942092264247407,7,18
112,9,2.0,3.0,5,100,,0.5927272880518631,7,17
110,9,2.0,2.0,5,100,,0.5927272880510289,7,18
111,9,2.0,2.5,5,100,,0.5927272880510246,7,18
64,6,2.0,3.0,5,100,,0.5913340426225269,8,18
63,6,2.0,2.5,5,100,,0.5913340426223417,8,16
62,6,2.0,2.0,5,100,,0.5913340426209407,8,15
61,6,2.0,1.5,5,100,,0.591334042616317,8,14
89,8,1.5,1.5,5,100,,0.5912584759262325,8,12
35,5,0.5,2.5,5,100,,0.5910128709665726,11,40
36,5,0.5,3.0,5,100,,0.5910128709661351,11,40
105,9,1.5,1.5,5,100,,0.5906022920997892,8,13
79,7,2.0,2.5,5,100,,0.5899775357068854,8,17
78,7,2.0,2.0,5,100,,0.5899775357058492,8,16
77,7,2.0,1.5,5,100,,0.589977535703213,8,14
93,8,2.0,1.5,5,100,,0.5899775357024504,8,14
109,9,2.0,1.5,5,100,,0.5882094107313279,8,14
104,9,1.0,3.0,5,100,,0.5881933811179181,9,62
103,9,1.0,2.5,5,100,,0.588193381117661,9,62
60,6,1.5,3.0,5,100,,0.5862050283872169,8,48
58,6,1.5,2.0,5,100,,0.5862050283709789,8,32
59,6,1.5,2.5,5,100,,0.5862050283630321,8,46
74,7,1.5,2.0,5,100,,0.5854689595714377,8,32
67,7,0.5,2.5,5,100,,0.5851085602415312,10,61
68,7,0.5,3.0,5,100,,0.5851085602400119,10,62
70,7,1.0,2.0,5,100,,0.5848195600398202,10,54
86,8,1.0,2.0,5,100,,0.5848195600398202,10,54
85,8,1.0,1.5,5,100,,0.5848195600391896,10,54
69,7,1.0,1.5,5,100,,0.5848195600391896,10,54
66,7,0.5,2.0,5,100,,0.5835886601298322,10,52
65,7,0.5,1.5,5,100,,0.5835886601033005,10,51
84,8,0.5,3.0,5,100,,0.5832015345088237,10,57
83,8,0.5,2.5,5,100,,0.5832015345084025,10,57
71,7,1.0,2.5,5,100,,0.5831657231683034,10,51
87,8,1.0,2.5,5,100,,0.5831657231683034,10,51
88,8,1.0,3.0,5,100,,0.5831657231300215,10,52
72,7,1.0,3.0,5,100,,0.5831657231300215,10,52
82,8,0.5,2.0,5,100,,0.5810606800403634,10,49
81,8,0.5,1.5,5,100,,0.5802808753802867,10,44
90,8,1.5,2.0,5,100,,0.5798482072834477,8,40
99,9,0.5,2.5,5,100,,0.5768770417008948,9,67
100,9,0.5,3.0,5,100,,0.5768770417008773,9,67
98,9,0.5,2.0,5,100,,0.5768770416563767,9,57
97,9,0.5,1.5,5,100,,0.5768770416552278,9,56
102,9,1.0,2.0,5,100,,0.5754672640676404,11,76
101,9,1.0,1.5,5,100,,0.5754672640165254,11,75
75,7,1.5,2.5,5,100,,0.5663852865004636,8,66
126,10,2.0,2.0,5,100,,0.5569742135997695,5,23
127,10,2.0,2.5,5,100,,0.5569742135997222,5,23
128,10,2.0,3.0,5,100,,0.55697421359968,5,22
122,10,1.5,2.0,5,100,,0.5523321050451229,5,27
124,10,1.5,3.0,5,100,,0.5523321050425638,5,25
123,10,1.5,2.5,5,100,,0.5523321050424632,5,25
117,10,1.0,1.5,5,100,,0.5508687619377072,7,62
121,10,1.5,1.5,5,100,,0.5410028567511171,7,66
118,10,1.0,2.0,5,100,,0.5397416200071692,6,92
125,10,2.0,1.5,5,100,,0.5337458647488307,7,73
119,10,1.0,2.5,5,100,,0.5240537923914241,6,90
120,10,1.0,3.0,5,100,,0.5240537923813539,6,90
114,10,0.5,2.0,5,100,,0.5056888274668639,9,60
116,10,0.5,3.0,5,100,,0.5056888274285976,9,64
115,10,0.5,2.5,5,100,,0.5056888274198741,9,63
113,10,0.5,1.5,5,100,,0.5056888273516914,9,61
