config_id,k,beta,r,init_iter,max_iter,max_communities,fuzzy_modularity_qg,n_communities,n_iterations
6,3,1.0,2.0,5,100,,0.43901388653457274,4,17
7,3,1.0,2.5,5,100,,0.43901388653192974,4,17
8,3,1.0,3.0,5,100,,0.43901388653004875,4,17
5,3,1.0,1.5,5,100,,0.4390138865202381,4,16
10,3,1.5,2.0,5,100,,0.4345214669889994,3,7
28,4,1.5,3.0,5,100,,0.4345214669889994,3,6
25,4,1.5,1.5,5,100,,0.4345214669889994,3,18
26,4,1.5,2.0,5,100,,0.4345214669889994,3,18
9,3,1.5,1.5,5,100,,0.4345214669889994,3,9
27,4,1.5,2.5,5,100,,0.4345214669889994,3,6
11,3,1.5,2.5,5,100,,0.4345214669889994,3,7
12,3,1.5,3.0,5,100,,0.4345214669889994,3,7
22,4,1.0,2.0,5,100,,0.4334172897871808,3,11
23,4,1.0,2.5,5,100,,0.433417289786923,3,11
24,4,1.0,3.0,5,100,,0.4334172897860564,3,11
21,4,1.0,1.5,5,100,,0.4334172897860118,3,11
2,3,0.5,2.0,5,100,,0.4169829087504486,3,25
3,3,0.5,2.5,5,100,,0.4169829087466057,3,25
4,3,0.5,3.0,5,100,,0.4169829087299678,3,25
1,3,0.5,1.5,5,100,,0.41698290869017246,3,25
16,3,2.0,3.0,5,100,,0.40362811791383213,2,2
15,3,2.0,2.5,5,100,,0.40362811791383213,2,2
14,3,2.0,2.0,5,100,,0.40362811791383213,2,2
13,3,2.0,1.5,5,100,,0.40362811791383213,2,2
29,4,2.0,1.5,5,100,,0.40362811791383213,2,2
30,4,2.0,2.0,5,100,,0.40362811791383213,2,2
31,4,2.0,2.5,5,100,,0.40362811791383213,2,2
32,4,2.0,3.0,5,100,,0.40362811791383213,2,2
39,5,1.0,2.5,5,100,,0.40281965310722845,3,16
42,5,1.5,2.0,5,100,,0.40281965310477785,3,18
40,5,1.0,3.0,5,100,,0.4028196531041815,3,16
41,5,1.5,1.5,5,100,,0.4028196531041408,3,18
43,5,1.5,2.5,5,100,,0.40281965304982087,3,17
44,5,1.5,3.0,5,100,,0.40281965304940975,3,17
37,5,1.0,1.5,5,100,,0.4028196530445325,3,17
38,5,1.0,2.0,5,100,,0.40281965304436745,3,17
47,5,2.0,2.5,5,100,,0.3994018103313822,2,11
63,6,2.0,2.5,5,100,,0.3994018103313822,2,11
46,5,2.0,2.0,5,100,,0.3994018103313332,2,11
62,6,2.0,2.0,5,100,,0.3994018103313332,2,11
64,6,2.0,3.0,5,100,,0.39940181032983324,2,11
48,5,2.0,3.0,5,100,,0.39940181032983324,2,11
61,6,2.0,1.5,5,100,,0.39940181032741273,2,11
45,5,2.0,1.5,5,100,,0.39940181032741273,2,11
20,4,0.5,3.0,5,100,,0.3973342891045805,2,17
19,4,0.5,2.5,5,100,,0.39733428910247304,2,17
18,4,0.5,2.0,5,100,,0.39733428909925894,2,17
17,4,0.5,1.5,5,100,,0.3973342890963507,2,17
57,6,1.5,1.5,5,100,,0.3756411382706236,2,17
58,6,1.5,2.0,5,100,,0.3756411382697314,2,17
54,6,1.0,2.0,5,100,,0.37564113826751216,2,17
53,6,1.0,1.5,5,100,,0.3756411382671759,2,17
59,6,1.5,2.5,5,100,,0.3756411382452592,2,17
60,6,1.5,3.0,5,100,,0.3756411382450879,2,17
56,6,1.0,3.0,5,100,,0.3756411382450312,2,17
55,6,1.0,2.5,5,100,,0.3756411382449773,2,17
74,7,1.5,2.0,5,100,,0.3756411382411891,2,18
73,7,1.5,1.5,5,100,,0.37564113824117706,2,18
75,7,1.5,2.5,5,100,,0.3756411382406571,2,18
76,7,1.5,3.0,5,100,,0.3756411382406204,2,18
79,7,2.0,2.5,5,100,,0.37564113820869277,2,14
80,7,2.0,3.0,5,100,,0.37564113820798617,2,14
77,7,2.0,1.5,5,100,,0.37564113819849426,2,12
