node,significant_run_count,candidate_occurrences,mean_centrality_vote,max_centrality_vote,communities_found,voted_by_summary,significant_frequency,min_significant_run_required,is_stable_significant
parametrium malignant neoplasm,20,22,3,3,"1 | 12 | 15 | 15, 47 | 17 | 18 | 19 | 22 | 3 | 33 | 33, 6 | 37 | 4 | 48 | 59 | 6","degree_centrality, closeness_centrality, eigenvector_centrality",1,15,TRUE
cervical cancer,20,21,3,3,"1 | 12 | 15 | 17 | 18 | 19 | 22 | 3 | 33, 52 | 37 | 4 | 48 | 59 | 6","degree_centrality, closeness_centrality, eigenvector_centrality",1,15,TRUE
endometrial cancer,20,20,3,3,1 | 12 | 15 | 17 | 18 | 19 | 22 | 3 | 33 | 37 | 4 | 47 | 48 | 52 | 59 | 6,"degree_centrality, closeness_centrality, eigenvector_centrality",1,15,TRUE
liver disease,19,19,3.842105263,4,16 | 24 | 25 | 29 | 31 | 34 | 35 | 4 | 42 | 43 | 44 | 47 | 48 | 5 | 52 | 57 | 6 | 61,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
squamous cell carcinoma,19,19,3.631578947,4,1 | 10 | 14 | 2 | 25 | 3 | 34 | 39 | 4 | 42 | 44 | 47 | 49 | 53 | 7 | 8 | 9,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
clear cell basal cell carcinoma,19,20,3,3,"11 | 14 | 15 | 20 | 22 | 22, 40 | 25 | 29 | 3 | 36 | 39 | 4 | 5 | 54 | 56 | 59 | 6","degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
skin cancer,19,20,3,3,"11 | 14 | 15 | 20 | 22 | 22, 40 | 25 | 3 | 30 | 36 | 4 | 47 | 5 | 56 | 59 | 6","degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
bone disease,18,18,4,4,17 | 18 | 19 | 28 | 29 | 30 | 34 | 35 | 37 | 39 | 4 | 41 | 46 | 5 | 52 | 53 | 6,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
connective tissue disease,18,18,3.888888889,4,13 | 17 | 19 | 20 | 21 | 25 | 26 | 34 | 35 | 40 | 41 | 42 | 46 | 5,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
immune system disease,18,19,3.805555556,4,"10 | 17 | 21 | 22 | 24 | 25, 39 | 26 | 27 | 31 | 37 | 38 | 39 | 45 | 47 | 48 | 55","degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
