node,significant_run_count,candidate_occurrences,mean_centrality_vote,max_centrality_vote,communities_found,voted_by_summary,significant_frequency,min_significant_run_required,is_stable_significant
vascular disease,20,20,3.95,4,13 | 16 | 17 | 21 | 24 | 30 | 31 | 36 | 37 | 4 | 45 | 48 | 5 | 54 | 55 | 56 | 60 | 61 | 9,"degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality",1,15,TRUE
colorectal cancer,19,19,3.947368421,4,20 | 22 | 23 | 24 | 28 | 29 | 32 | 33 | 39 | 4 | 41 | 42 | 45 | 53 | 55 | 6 | 65 | 73,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
lung disease,19,19,3.842105263,4,10 | 14 | 15 | 19 | 25 | 26 | 37 | 40 | 41 | 42 | 44 | 45 | 49 | 51 | 53 | 59 | 60 | 65 | 8,"degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
stroke,19,19,3.578947368,4,1 | 11 | 23 | 28 | 31 | 39 | 40 | 44 | 46 | 47 | 48 | 49 | 52 | 56,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
kidney disease,19,19,3.526315789,4,12 | 2 | 27 | 33 | 39 | 40 | 43 | 44 | 45 | 46 | 49 | 56 | 65 | 66 | 7,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.95,15,TRUE
intracranial embolism,18,18,3.611111111,4,1 | 11 | 23 | 28 | 31 | 33 | 36 | 39 | 40 | 44 | 46 | 52,"degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
bone cancer,18,19,3.5,4,"11 | 15 | 16 | 2 | 20, 40 | 21 | 23 | 24 | 26 | 28 | 33 | 38 | 43 | 45 | 52 | 53 | 8 | 9","degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
tuberculosis,18,18,3.5,4,15 | 17 | 18 | 19 | 24 | 25 | 27 | 30 | 38 | 42 | 47 | 51 | 54 | 56 | 57 | 58 | 59,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
squamous cell carcinoma,18,18,3.444444444,4,10 | 18 | 25 | 26 | 29 | 32 | 5 | 51 | 55 | 57 | 6 | 60 | 61 | 65 | 67,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
neuroendocrine tumor,18,18,3.222222222,4,14 | 16 | 18 | 23 | 24 | 25 | 26 | 29 | 4 | 42 | 44 | 46 | 47 | 55 | 66 | 9,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.9,15,TRUE
connective tissue disease,17,17,4,4,12 | 23 | 24 | 26 | 29 | 31 | 33 | 34 | 40 | 43 | 44 | 47 | 50 | 57 | 7,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality",0.85,15,TRUE
